================== PAGE 81 ==================

کتاب‌نامه بخش اول

| نام کتاب | نویسنده | مترجم | ناشر | درس | مخاطب |
| :--- | :--- | :--- | :--- | :--- | :--- |
| ۱- آموزش عقاید | محمدتقی مصباح یزدی | | سازمان تبلیغات اسلامی | بخش اول | معلم/ دانش‌آموز |
| ۲- آن که به خدا ایمان داشت و آن که به خدا ایمان نداشت | ژان کوتون - ژان لاکزمن | عباس آگاهی | دفتر نشر فرهنگ اسلامی | ۱ | معلم |
| ۳- اثبات خدا | سیدمحمدباقر صدر | محمود عابدی | انتشارات روزبه | ۲ و ۱ | معلم |
| ۴- اصول عقاید | محسن قرائی | | مرکز فرهنگی درس‌های از قرآن اول | بخش اول | معلم/ دانش‌آموز |
| ۵- الله شناسی | سیدمحمدحسین حسینی طهرانی | | انتشارات حکمت | ۳ و ۲ و ۱ | معلم |
| ۶- لهه ثامه | جواد معتمدی | | بوستان کتاب قم مرکز نشر اسراء | ۳ و ۲ و ۱ | دانش‌آموز / معلم |
| ۷- تببین برهانین اثبات خدا | عبدالله جوادی آملی | | | ۲ و ۱ | معلم |
| ۸- توحید | مرتضی مطهری | | انتشارات صدرا | ۳ و ۲ | معلم/ دانش‌آموز |
| ۹- توحید در قرآن | عبدالله جوادی آملی | | مرکز نشر اسراء | ۳ و ۲ و ۱ | معلم/ دانش‌آموز |
| ۱۰- جهان بینی توحیدی | مرتضی مطهری | | انتشارات صدرا | ۳ و ۲ | معلم/ دانش‌آموز |
| ۱۱- حکمت عبادات | عبدالله جوادی آملی | | مرکز نشر اسراء | ۳ | معلم/ دانش‌آموز |
| ۱۲- خدا | حسین سوزینچی | | انتشارات مدرسه | ۳ و ۲ و ۱ | معلم/ دانش‌آموز |
| ۱۳- خدا از دیدگاه قرآن | سیدمحمدحسین حسینی بهشتی | | نشر بعثه | ۳ و ۲ و ۱ | معلم/ دانش‌آموز |
| ۱۴- رساله توحیدی | علامه سیدمحمد حسین طباطبایی | | انتشارات زهراء | ۳ و ۲ و ۱ | معلم |
| ۱۵- رضا و تسلیم از دیدگاه امام خمینی | سید احمد فهری | | مؤسسه انتشاراتی تحقیقاتی فیض کاشانی | ۴ | معلم/ دانش‌آموز |
| ۱۶- علم یقین الهی و اختیار انسان | محمد سعیدی مهر | | پژوهشگاه فرهنگ و اندیشه اسلامی | ۵ | معلم |

[fig:page_081.png|(120,940),(150,970)] (توضیح: یک کادر مستطیلی کوچک در پایین صفحه که عدد ۷۵ در آن نوشته شده است و به عنوان شماره صفحه کتاب عمل می‌کند.)
