================== PAGE 144 ==================

سازمان پژوهش و برنامه‌ریزی آموزشی جهت ایفای نقش خطیر خود در اجرای سند تحول بنیادین در
آموزش و پرورش و برنامه درسی جمهوری اسلامی ایران، مشارکت معلمان را به‌عنوان یک سیاست
اجرایی مهم دنبال می‌کند. برای تحقق این امر در اقدامی نوآورانه سامانه‌ای بر خط اعتبارسنجی
کتاب‌های درسی راه‌اندازی شد تا با دریافت نظرات معلمان درباره کتاب‌های درسی نوساخته، کتاب‌های
درسی را در اولین چاپ، با کمترین اشکال به دانش‌آموزان و معلمان ارجمند تقدیم نماید. در اینجای
مطلوب این فرایند، همکاران گروه‌ تحول محتوای آموزشی و پژوهشی استان‌ها، گروه‌های آموزشی و
دبیرخانه راهبری دروس و مدیران محترم مراکز آموزشی محور یاس نخست سخت‌کوشان را بر عهده داشتند. ضمن
ارج نهادن به تلاش تمامی این همکاران، اسامی دبیران و هنرآموزانی که تلاش مضاعفی را در این زمینه
داشته و راه‌حل نظرات خود سازمان را در بهبود محتوای این کتاب ارزیابی کرده‌اند، به شرح زیر اعلام می‌شود.

اسامی دبیران و هنرآموزان شرکت‌کننده در اعتبارسنجی کتاب هنر و زندگی (۳) ــ کد ۱۲۰۴۲۰۱۱

| ردیف | نام و نام خانوادگی | ردیف | نام و نام خانوادگی | ردیف | نام و نام خانوادگی | ردیف | نام و نام خانوادگی |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| ۱ | زهرا ارزی — البرز | ۲۷ | هاجر دینی — اصفهان | ۵۳ | سید علیرضا عارفیان — فارس | ۷۷ | سید اباصلح حسنی — تهران |
| ۲ | محمدعلی ابراهیمی — قم | ۲۸ | عبدالرضا درودخواه — خراسان رضوی | ۵۴ | سیدریم علیاسق شریفی — البرز | ۷۸ | سید احسان هندی — تهران |
| ۳ | عمیه احمدی — مازندران | ۲۹ | زهرا رحیم‌پور چهرام — چهارمحال‌وبختیاری | ۵۵ | صبری غفوری — بوشهر | | |
| ۴ | امنه امیانی — لرستان | ۳۰ | ظاهره رحیمی — سمنان | ۵۶ | محمود فخری‌گور — تهران | | |
| ۵ | عذرا اخرمی — یزد | ۳۱ | مریم نحسی — خوزستان | ۵۷ | زهره فروغ‌فر — تهران | | |
| ۶ | علی اهیارزاد — یزد | ۳۲ | بروین رفیعی — اصفهان | ۵۸ | سعیده سادات فرسینی — قزوین | | |
| ۷ | زهره ارتلانو — خراسان شمالی | ۳۳ | زهرا رتینگر نکنی — اصفهان | ۵۹ | محمدرضا فینی‌سرا — بوشهر | | |
| ۸ | عصمت بسطامی — خراسان شمالی | ۳۴ | فاطمه رومیانی — خراسان جنوبی | ۶۰ | زها کلاتیر — بوشهر | | |
| ۹ | محسن بیانی — تهران | ۳۵ | احمد رزاز — یزد | ۶۱ | نیک‌بانه کافی — خراسان رضوی | | |
| ۱۰ | آیت‌الله سیدعلی سرامی — آذربایجان غربی | ۳۶ | رضا سرمدی — تهران | ۶۲ | طاهره کبیرزاده — کرمان | | |
| ۱۱ | اقدس پورمند | ۳۷ | سیما سعادت — تهران | ۶۳ | کلثام گانری — البرز | | |
| ۱۲ | کنیگی بیورمند — تهران | ۳۸ | رنا سعیدی — کرمان | ۶۴ | زهرا کدنی — سیستان و بلوچستان | | |
| ۱۳ | محمدرضای تقی زاده مشکباف | ۳۹ | مریم سلیمانی — تهران | ۶۵ | معکوفه گل — سمنان | | |
| ۱۴ | فرو جاواری — چهارمحال‌وبختیاری | ۴۰ | سید محبوبه سیدجاویدی — تهران | ۶۶ | مسعوده لک — کرمان | | |
| ۱۵ | زهرا جعفری حسکانی — تهران | ۴۱ | فردین سفیقی — لرستان | ۶۷ | حسین مردی — هورگان | | |
| ۱۶ | فراهمه جشیدبان — لرستان | ۴۲ | مرضیه بسنانی — سمنان | ۶۸ | حمزه مرادی — سیستان و بلوچستان | | |
| ۱۷ | علی‌اصغر جاوید — فارس | ۴۳ | فریده شادان — کرمانشاه | ۶۹ | قاسم مندوی — خوزستان | | |
| ۱۸ | ابراهیم حسین زاده — گیلان | ۴۴ | زهرا شریفی — تهران | ۷۰ | جعفر مؤدبی — قم | | |
| ۱۹ | منصور حسین‌زاده — کردستان | ۴۵ | زهرا شریفی — مرکزی | ۷۱ | فخرالسادات موسوی — تهران | | |
| ۲۰ | فاطمه حکیمی راد — گیلان | ۴۶ | معصومه شفیعی پور — کرمان | ۷۲ | محبوبه موسوی — تهران | | |
| ۲۱ | شبیبی شرعی — کرمانشاه | ۴۷ | املیا شهریار پور — آذربایجان شرقی | ۷۳ | ترگیز مهرزاده — بوشهر | | |
| ۲۲ | مینا خسروی — سیستان و بلوچستان | ۴۸ | گلی افتخاری — گیلان‌وبویاهرمد | ۷۴ | فیروز نادبخت — آذربایجان شرقی | | |
| ۲۳ | سیمرا خرویی — سیستان | ۴۹ | مرتضی صفیروف — اصفهان | ۷۵ | گلتنوم نصیری — تهران | | |
| ۲۴ | سیدعباس خیراللهی رکن آبادی — یزد | ۵۰ | طیبه سرایان — تهران | ۷۶ | مرضیه نوپسر — قم | | |
| ۲۵ | مخرّم دادگر — آذربایجان غربی | ۵۱ | مژگان عساکری — گیلان | ۷۷ | ابوالفضل نوروزی — مرکزی | | |
| ۲۶ | بهمن دیدارور — لرستان | ۵۲ | محمدرضا عباسی — تهران | | | | |
